,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes
0,SRR24501796,adipose_tissue,91.61,2239340426,17076091908
1,SRR13933701,adipose_tissue,91.21,646981724,7313999408
2,SRR11227622,adipose_tissue,74.49,283332522,1771579552
3,SRR11227918,adipose_tissue,70.47,303285946,1923547556
4,SRR11226964,adipose_tissue,66.07,417463352,2608732552
5,SRR11228417,adipose_tissue,55.61,252581586,1568843748
6,SRR11227203,adipose_tissue,53,242620718,1529904196
7,SRR20740668,breast_cells,90.62,943866685,6442833528
8,SRR2155420,breast_cells,88.48,2873366558,12878586092
9,SRR12006129,breast_cells,87.97,2568033876,19806234560
10,SRR3544527,breast_cells,86.55,1570327407,12959329562
11,SRR16694241,breast_cells,86.28,2214159546,20820824444
12,SRR2973472,breast_cells,85.56,1221906243,5330291728
13,SRR11509679,breast_cells,77.48,1745943502,11790525060
14,SRR1313095,breast_cells,73.88,4213923011,22596189812
15,SRR8354890,breast_cells,72.11,1102042955,8066751652
16,SRR8445103,breast_cells,70.46,2371511168,19119751770
17,SRR12649940,endometrium,93.54,2093992261,17396342212
18,SRR5887662,endometrium,92.42,1183782081,7129911806
19,SRR5488704,endometrium,90.45,6514945303,33833768648
20,SRR5488695,endometrium,88.88,5511890133,29289761148
21,SRR17183384,endometrium,81.79,9661515581,90601805868
22,SRR14453822,endometrium,72.8,511924614,2404820158
23,SRR14838685,endometrium,65.32,260749508,1888848288
24,SRR8984514,endometrium,60.75,5388113431,35893248264
25,SRR10387440,endothelium,93.4,7501428717,55182608136
26,SRR11780522,endothelium,93.13,2875685226,23222488024
27,SRR10387432,endothelium,92.9,3903770589,28905773256
28,SRR18156525,endothelium,92.47,1113988548,12595255172
29,SRR10970615,endothelium,91.35,2045322731,15395818468
30,SRR8352443,endothelium,90.57,301197870,2646378304
31,SRR19357922,endothelium,90.36,2221471638,20654649916
32,SRR17848277,endothelium,89.52,2489791146,23150521484
33,SRR8632804,endothelium,85.63,1064487163,7943633256
34,SRR9017002,endothelium,85.34,4143930522,24052476936
35,SRR9163309,endothelium,84.08,556264719,4550319296
36,SRR9017018,endothelium,83.31,3328054834,18874655496
37,SRR14233738,endothelium,78.65,368963495,2084708644
38,SRR14961869,endothelium,77.82,4011809677,39530537200
39,SRR8663474,endothelium,76.32,487375208,5034875288
40,SRR9202775,endothelium,74.07,724958278,6846632838
41,SRR14567625,endothelium,70.42,2687702913,24149797316
42,SRR16541661,endothelium,20.93,1178231765,7703087052
43,SRR16541571,endothelium,15.56,412684750,2759531636
44,SRR16541605,endothelium,15.34,683646513,4580321648
45,SRR14648769,epithelium,86.33,2329109365,25597106540
46,SRR5337165,epithelium,83.85,304058578,2780175356
47,SRR13415505,epithelium,76.62,6466113924,38598444448
48,SRR11952102,epithelium,70.81,5989769154,46143565080
